PLAYER_ID,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
1628408,PJ Dozier,MIN,9,7,2,35.0,4,0,0,0.0,0,2,0.0,0,0.0,3,75.0,1,25.0,0,0.0,1,25.0
1641790,PJ Hall,DEN,15,11,4,46.0,1,0,0,0.0,2,2,100.0,2,200.0,0,0.0,0,0.0,0,0.0,1,100.0
1642359,Pacôme Dadiet,NYK,14,10,4,95.0,9,1,3,33.300000000000004,2,2,100.0,4,44.4,5,55.60000000000001,0,0.0,0,0.0,1,11.1
1631094,Paolo Banchero,ORL,27,10,17,895.0,278,54,125,43.2,69,96,71.89999999999999,180,64.7,72,25.900000000000002,13,4.7,18,6.5,47,16.900000000000002
1627783,Pascal Siakam,IND,57,33,24,1881.0,325,82,158,51.9,25,32,78.10000000000001,199,61.199999999999996,127,39.1,23,7.1,16,4.9,16,4.9
1626192,Pat Connaughton,MIL,31,12,19,459.0,83,17,32,53.1,8,10,80.0,42,50.6,41,49.4,13,15.7,4,4.8,5,6.0
1630311,Pat Spencer,GSW,26,14,12,191.0,66,13,30,43.3,2,4,50.0,29,43.9,26,39.4,9,13.600000000000001,3,4.5,2,3.0
1631116,Patrick Baldwin Jr.,WAS,22,1,21,101.0,3,1,2,50.0,0,0,0.0,2,66.7,1,33.300000000000004,0,0.0,0,0.0,0,0.0
1630172,Patrick Williams,CHI,45,18,27,1179.0,201,33,92,35.9,22,27,81.5,90,44.800000000000004,75,37.3,15,7.5,11,5.5,14,7.000000000000001
201988,Patty Mills,LAC,22,5,17,286.0,15,2,5,40.0,0,0,0.0,4,26.700000000000003,9,60.0,1,6.7,1,6.7,0,0.0
202331,Paul George,PHI,39,14,25,1265.0,345,60,113,53.1,33,40,82.5,157,45.5,176,51.0,39,11.3,22,6.4,20,5.800000000000001
1630194,Paul Reed,DET,33,16,17,305.0,16,1,8,12.5,5,6,83.3,7,43.8,5,31.3,1,6.3,0,0.0,3,18.8
1630202,Payton Pritchard,BOS,57,40,17,1593.0,276,56,88,63.6,12,14,85.7,126,45.7,165,59.8,47,17.0,14,5.1,7,2.5
1641796,Pelle Larsson,MIA,37,16,21,455.0,54,9,18,50.0,7,14,50.0,27,50.0,27,50.0,5,9.3,1,1.9,7,13.0
1631250,Pete Nance,PHI,7,3,4,68.0,5,1,2,50.0,1,2,50.0,3,60.0,2,40.0,0,0.0,0,0.0,1,20.0
1631212,Peyton Watson,DEN,48,29,19,1158.0,89,21,39,53.800000000000004,14,16,87.5,58,65.2,33,37.1,7,7.9,9,10.100000000000001,8,9.0
1630173,Precious Achiuwa,NYK,37,25,12,842.0,62,18,39,46.2,4,8,50.0,40,64.5,15,24.2,4,6.5,4,6.5,4,6.5
1629656,Quentin Grimes,PHI,55,25,30,1316.0,228,49,91,53.800000000000004,26,28,92.9,131,57.49999999999999,95,41.699999999999996,24,10.5,21,9.2,14,6.1
1631245,Quenton Jackson,IND,18,8,10,254.0,56,12,26,46.2,4,6,66.7,29,51.800000000000004,23,41.099999999999994,7,12.5,3,5.4,3,5.4
1642439,Quincy Olivari,LAL,2,1,1,10.0,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0
1642366,Quinten Post,GSW,20,11,9,297.0,14,3,7,42.9,0,0,0.0,8,57.099999999999994,4,28.599999999999998,1,7.1,3,21.4,0,0.0
1629628,RJ Barrett,TOR,46,15,31,1527.0,605,137,285,48.1,81,118,68.60000000000001,364,60.199999999999996,204,33.7,61,10.100000000000001,40,6.6000000000000005,59,9.8
1642484,RayJ Dennis,IND,7,5,2,15.0,4,0,1,0.0,2,2,100.0,2,50.0,1,25.0,1,25.0,1,25.0,1,25.0
1641712,Rayan Rupert,POR,38,15,23,301.0,52,5,15,33.300000000000004,5,6,83.3,15,28.799999999999997,28,53.800000000000004,7,13.5,3,5.800000000000001,3,5.800000000000001
1641736,Reece Beekman,BKN,25,10,15,253.0,74,11,26,42.3,5,8,62.5,25,33.800000000000004,37,50.0,4,5.4,4,5.4,3,4.1000000000000005
1642263,Reed Sheppard,HOU,42,25,17,478.0,58,9,27,33.300000000000004,0,0,0.0,18,31.0,27,46.6,5,8.6,4,6.9,0,0.0
202704,Reggie Jackson,PHI,31,11,20,384.0,66,17,35,48.6,0,0,0.0,35,53.0,25,37.9,4,6.1,4,6.1,1,1.5
1626158,Richaun Holmes,WAS,21,4,17,367.0,12,5,6,83.3,2,2,100.0,12,100.0,4,33.300000000000004,1,8.3,0,0.0,1,8.3
1641741,Ricky Council IV,PHI,50,13,37,709.0,148,29,69,42.0,20,24,83.3,79,53.400000000000006,58,39.2,13,8.799999999999999,6,4.1000000000000005,12,8.1
1642434,Riley Minix,SAS,1,0,1,7.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642265,Rob Dillingham,MIN,35,18,17,450.0,158,37,73,50.7,3,4,75.0,77,48.699999999999996,62,39.2,11,7.000000000000001,15,9.5,2,1.3
1629057,Robert Williams III,POR,20,7,13,351.0,3,1,3,33.300000000000004,0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
1641842,Ronald Holland II,DET,59,33,26,919.0,149,33,70,47.099999999999994,22,28,78.60000000000001,90,60.4,42,28.199999999999996,6,4.0,14,9.4,14,9.4
1626220,Royce O'Neale,PHX,53,24,29,1353.0,103,13,49,26.5,3,4,75.0,30,29.099999999999998,49,47.599999999999994,9,8.7,3,2.9000000000000004,2,1.9
203497,Rudy Gobert,MIN,55,30,25,1831.0,32,6,17,35.3,0,0,0.0,12,37.5,11,34.4,4,12.5,2,6.3,0,0.0
1629060,Rui Hachimura,LAL,50,31,19,1605.0,134,28,71,39.4,22,28,78.60000000000001,80,59.699999999999996,37,27.6,9,6.7,10,7.5,14,10.4
