PLAYER,TEAM,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID,TEAM_ID
Toumani Camara,POR,72,29,43,2371.0,10,30,33.300000000000004,10.0,25.0,40.0,50.0,30,1641739,1610612757
Trae Young,ATL,69,33,36,2491.0,261,704,37.1,158.0,467.0,33.800000000000004,48.3,680,1629027,1610612737
Trayce Jackson-Davis,GSW,57,30,27,940.0,0,1,0.0,0.0,0.0,,0.0,0,1631218,1610612744
Tre Jones,CHI,46,21,25,905.0,6,24,25.0,1.0,5.0,20.0,27.1,13,1630200,1610612741
Tre Mann,CHA,13,6,7,319.0,23,60,38.3,11.0,31.0,35.5,47.5,57,1630544,1610612766
Trendon Watford,BKN,37,14,23,731.0,10,31,32.300000000000004,3.0,12.0,25.0,37.1,23,1630570,1610612751
Trentyn Flowers,LAC,2,0,2,16.0,1,1,100.0,0.0,0.0,,100.0,2,1642280,1610612746
Trevelin Queen,ORL,29,13,16,395.0,9,34,26.5,7.0,27.0,25.900000000000002,36.8,25,1630243,1610612753
Trey Alexander,DEN,21,13,8,90.0,5,15,33.300000000000004,0.0,2.0,0.0,33.300000000000004,10,1641725,1610612743
Trey Jemison III,LAL,33,14,19,354.0,1,3,33.300000000000004,,,,33.300000000000004,2,1641998,1610612747
Trey Lyles,SAC,61,30,31,1125.0,4,20,20.0,1.0,13.0,7.7,22.5,9,1626168,1610612758
Trey Murphy III,NOP,53,14,39,1854.0,67,219,30.599999999999998,43.0,150.0,28.7,40.400000000000006,177,1630530,1610612740
Tristan Thompson,CLE,38,31,7,265.0,0,8,0.0,0.0,1.0,0.0,0.0,0,202684,1610612739
Tristan Vukcevic,WAS,29,5,24,365.0,7,21,33.300000000000004,2.0,10.0,20.0,38.1,16,1641774,1610612764
Tristan da Silva,ORL,70,33,37,1542.0,16,55,29.099999999999998,8.0,31.0,25.8,36.4,40,1641783,1610612753
Tristen Newton,MIN,8,2,6,16.0,0,2,0.0,0.0,1.0,0.0,0.0,0,1641803,1610612750
