PLAYER,TEAM,GP,W,L,MIN,Touches,ElbowTouches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,PLAYER_ID,TEAM_ID
Tristan Vukcevic,WAS,18,3,15,165.0,284,21,9,14,64.3,3,4,75.0,22,104.80000000000001,5,23.799999999999997,2,40.0,0,0.0,2,9.5,1641774,1610612764
Tristan da Silva,ORL,56,27,29,1357.0,1716,55,13,22,59.099999999999994,2,2,100.0,29,52.7,26,47.3,5,19.2,4,7.3,1,1.7999999999999998,1641783,1610612753
Tristen Newton,MIN,8,2,6,16.0,43,2,0,0,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,1641803,1610612750
Ty Jerome,CLE,54,45,9,1036.0,2100,17,4,5,80.0,0,0,0.0,8,47.099999999999994,11,64.7,3,27.3,0,0.0,0,0.0,1629660,1610612739
TyTy Washington Jr.,PHX,8,0,8,89.0,176,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1631102,1610612756
Tyler Herro,MIA,55,27,28,1963.0,4052,14,4,4,100.0,6,6,100.0,14,100.0,5,35.699999999999996,0,0.0,2,14.299999999999999,2,14.299999999999999,1629639,1610612748
Tyler Kolek,NYK,29,19,10,148.0,307,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642278,1610612752
Tyler Smith,MIL,15,8,7,75.0,127,3,1,1,100.0,0,0,0.0,2,66.7,1,33.300000000000004,1,100.0,1,33.300000000000004,0,0.0,1641890,1610612749
Tyrese Haliburton,IND,56,33,23,1904.0,5262,13,2,3,66.7,0,0,0.0,4,30.8,10,76.9,0,0.0,0,0.0,0,0.0,1630169,1610612754
Tyrese Martin,BKN,40,12,28,829.0,1400,27,9,12,75.0,0,0,0.0,18,66.7,10,37.0,1,10.0,3,11.1,0,0.0,1631213,1610612751
Tyrese Maxey,PHI,50,19,31,1897.0,4557,12,6,9,66.7,0,0,0.0,14,116.7,1,8.3,0,0.0,1,8.3,0,0.0,1630178,1610612755
Tyus Jones,PHX,57,27,30,1640.0,3757,15,3,7,42.9,0,0,0.0,6,40.0,7,46.7,3,42.9,1,6.7,0,0.0,1626145,1610612756
Ulrich Chomche,TOR,7,3,4,32.0,36,4,0,2,0.0,0,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,1642279,1610612761
Vasilije Micić,PHX,36,7,29,764.0,1816,5,1,1,100.0,0,0,0.0,2,40.0,4,80.0,0,0.0,0,0.0,0,0.0,203995,1610612756
Victor Wembanyama,SAS,46,21,25,1527.0,2696,258,42,83,50.6,25,36,69.39999999999999,118,45.7,133,51.6,33,24.8,19,7.3999999999999995,16,6.2,1641705,1610612759
Vince Williams Jr.,MEM,9,4,5,143.0,313,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,1631246,1610612763
Vlatko Čančar,DEN,4,1,3,34.0,54,3,1,2,50.0,0,0,0.0,2,66.7,1,33.300000000000004,0,0.0,0,0.0,0,0.0,1628427,1610612743
Vít Krejčí,ATL,39,18,21,811.0,1375,14,1,4,25.0,2,2,100.0,4,28.599999999999998,6,42.9,0,0.0,2,14.299999999999999,1,7.1,1630249,1610612737
Walker Kessler,UTA,44,12,32,1343.0,1577,131,19,36,52.800000000000004,11,22,50.0,51,38.9,61,46.6,7,11.5,18,13.700000000000001,10,7.6,1631117,1610612762
Wendell Carter Jr.,ORL,47,20,27,1190.0,1697,163,25,51,49.0,20,28,71.39999999999999,71,43.6,88,54.0,20,22.7,6,3.6999999999999997,12,7.3999999999999995,1628976,1610612753
Wendell Moore Jr.,CHA,24,7,17,293.0,398,5,3,4,75.0,0,0,0.0,6,120.0,1,20.0,0,0.0,0,0.0,0,0.0,1631111,1610612766
Xavier Tillman,BOS,28,22,6,200.0,242,7,2,4,50.0,0,0,0.0,4,57.099999999999994,3,42.9,1,33.300000000000004,0,0.0,0,0.0,1630214,1610612738
Yuki Kawamura,MEM,20,16,4,63.0,153,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642530,1610612763
Yuri Collins,GSW,2,2,0,16.0,45,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641879,1610612744
Yves Missi,NOP,55,13,42,1483.0,1797,155,29,51,56.89999999999999,10,18,55.60000000000001,71,45.800000000000004,77,49.7,10,13.0,11,7.1,9,5.800000000000001,1642274,1610612740
Zaccharie Risacher,ATL,52,25,27,1249.0,1634,54,22,34,64.7,3,4,75.0,49,90.7,18,33.300000000000004,2,11.1,0,0.0,2,3.6999999999999997,1642258,1610612737
Zach Collins,CHI,41,18,23,536.0,892,91,15,30,50.0,10,10,100.0,41,45.1,51,56.00000000000001,10,19.6,2,2.1999999999999997,5,5.5,1628380,1610612741
Zach Edey,MEM,44,27,17,904.0,1113,35,7,17,41.199999999999996,6,10,60.0,21,60.0,8,22.900000000000002,2,25.0,3,8.6,5,14.299999999999999,1641744,1610612763
Zach LaVine,SAC,51,23,28,1758.0,3045,24,14,16,87.5,0,2,0.0,28,116.7,3,12.5,2,66.7,1,4.2,2,8.3,203897,1610612758
Zeke Nnaji,DEN,37,27,10,335.0,312,16,5,6,83.3,2,2,100.0,12,75.0,7,43.8,0,0.0,1,6.3,1,6.3,1630192,1610612743
Ziaire Williams,BKN,44,18,26,1068.0,1494,33,5,11,45.5,0,0,0.0,10,30.3,16,48.5,3,18.8,4,12.1,0,0.0,1630533,1610612751
Zion Williamson,NOP,21,6,15,592.0,1353,66,16,37,43.2,8,12,66.7,41,62.1,17,25.8,5,29.4,3,4.5,5,7.6,1629627,1610612740
Zyon Pullin,MEM,3,1,2,3.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642389,1610612763
