PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%
Walker Kessler,UTA,22,14,14,51.0,32,51,62.7,62.7,51.0,32,51,62.7,0.0,0,0,-
Patrick Williams,CHI,22,21,19,33.8,24,51,47.1,47.1,33.1,24,50,48.0,0.7,0,1,0.0
Taurean Prince,LAL,29,21,19,32.7,23,51,45.1,48.0,23.7,20,37,54.1,9.0,3,14,21.4
Saddiq Bey,ATL,24,19,15,27.7,31,49,63.3,64.3,26.6,30,47,63.8,1.1,1,2,50.0
Kevin Huerter,SAC,25,17,17,27.4,27,49,55.1,62.2,18.4,20,33,60.6,8.9,7,16,43.8
Jrue Holiday,BOS,33,18,17,24.9,24,49,49.0,49.0,24.4,24,48,50.0,0.5,0,1,0.0
Kyle Lowry,MIA,37,20,18,36.3,20,49,40.8,51.0,17.8,10,24,41.7,18.5,10,25,40.0
Miles Bridges,CHA,25,9,9,36.1,28,48,58.3,58.3,36.1,28,48,58.3,0.0,0,0,-
Jalen Johnson,ATL,21,14,14,35.8,28,48,58.3,58.3,35.8,28,48,58.3,0.0,0,0,-
Rui Hachimura,LAL,25,14,13,41.0,27,48,56.3,58.3,37.6,25,44,56.8,3.4,2,4,50.0
Malaki Branham,SAS,20,20,16,29.9,25,47,53.2,53.2,29.3,25,46,54.3,0.6,0,1,0.0
Malik Beasley,MIL,27,22,21,23.9,20,47,42.6,52.1,12.2,11,24,45.8,11.7,9,23,39.1
Onyeka Okongwu,ATL,22,19,18,42.6,32,46,69.6,69.6,42.6,32,46,69.6,0.0,0,0,-
Jalen Suggs,ORL,22,19,16,26.0,27,46,58.7,59.8,24.3,26,43,60.5,1.7,1,3,33.3
Nic Claxton,BKN,24,11,11,50.6,26,45,57.8,57.8,50.6,26,45,57.8,0.0,0,0,-
Santi Aldama,MEM,22,14,13,26.8,21,45,46.7,46.7,23.2,21,39,53.8,3.6,0,6,0.0
Herbert Jones,NOP,25,20,15,28.0,25,44,56.8,56.8,27.4,25,43,58.1,0.6,0,1,0.0
Dario Saric,GSW,29,19,17,28.4,24,44,54.5,54.5,27.1,24,42,57.1,1.3,0,2,0.0
Harrison Barnes,SAC,31,18,16,29.5,22,44,50.0,52.3,26.8,20,40,50.0,2.7,2,4,50.0
Keegan Murray,SAC,23,14,14,26.2,21,44,47.7,51.1,20.2,18,34,52.9,6.0,3,10,30.0
Cameron Johnson,BKN,27,13,12,27.8,18,44,40.9,43.2,22.8,16,36,44.4,5.1,2,8,25.0
Josh Hart,NYK,28,20,17,30.3,24,43,55.8,57.0,27.5,23,39,59.0,2.8,1,4,25.0
Caleb Martin,MIA,28,11,11,38.4,19,43,44.2,45.3,34.8,18,39,46.2,3.6,1,4,25.0
Moses Moody,GSW,21,19,17,35.0,28,42,66.7,70.2,30.0,25,36,69.4,5.0,3,6,50.0
Aaron Nesmith,IND,24,18,16,31.6,27,42,64.3,67.9,28.6,24,38,63.2,3.0,3,4,75.0
T.J. McConnell,IND,31,14,13,50.0,26,41,63.4,63.4,50.0,26,41,63.4,0.0,0,0,-
Cedi Osman,SAS,28,20,17,30.6,24,41,58.5,59.8,26.9,23,36,63.9,3.7,1,5,20.0
Mitchell Robinson,NYK,25,20,16,44.6,24,41,58.5,58.5,44.6,24,41,58.5,0.0,0,0,-
Kevon Looney,GSW,27,19,19,54.7,21,41,51.2,51.2,54.7,21,41,51.2,0.0,0,0,-
OG Anunoby,TOR,26,16,15,22.0,20,41,48.8,50.0,18.3,19,34,55.9,3.8,1,7,14.3
Chris Boucher,TOR,30,18,17,48.8,19,41,46.3,48.8,36.9,17,31,54.8,11.9,2,10,20.0
Grayson Allen,PHX,28,19,17,24.7,20,40,50.0,50.0,24.7,20,40,50.0,0.0,0,0,-
