PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
Meyers Leonard,MIL,2,1,1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Porter Jr.,DEN,9,6,3,34.4,14.4,2.9,58.8,6.0,40.9,2.6,32.1,1.7,70.0,0.0,0.0,1.1,50.0,57.1
Mikal Bridges,BKN,4,0,4,39.4,23.5,10.0,48.4,3.8,27.8,10.3,47.4,1.0,66.7,0.0,0.0,0.0,0.0,49.4
Mike Conley,MIN,5,1,4,36.6,12.0,4.2,60.0,2.0,44.4,5.6,52.6,0.0,0.0,0.0,0.0,0.0,0.0,59.5
Mike Muscala,BOS,2,2,0,3.1,1.5,0.0,0.0,1.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
Miles McBride,NYK,6,3,3,2.8,0.5,0.0,0.0,0.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5
Mitchell Robinson,NYK,9,5,4,27.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,6.6,65.0,0.0,0.0,0.3,100.0,65.9
Mo Bamba,LAL,3,2,1,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montrezl Harrell,PHI,2,2,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moses Moody,GSW,10,5,5,13.7,5.8,0.3,20.0,2.4,53.3,0.5,40.0,1.5,100.0,0.0,0.0,0.3,100.0,67.1
Nathan Knight,MIN,2,0,2,2.4,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Nic Claxton,BKN,4,0,4,29.2,10.5,0.0,0.0,0.5,100.0,0.0,0.0,8.3,73.7,0.0,0.0,1.0,100.0,72.0
Nickeil Alexander-Walker,MIN,5,1,4,29.6,8.4,1.8,57.1,5.4,37.5,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1
Nicolas Batum,LAC,5,1,4,18.3,4.4,0.0,0.0,3.6,35.3,0.0,0.0,0.4,100.0,0.0,0.0,0.4,100.0,57.9
Nikola Jokic,DEN,9,6,3,37.8,30.8,4.4,47.2,5.7,39.6,3.6,56.0,9.8,66.1,6.8,63.2,4.9,44.4,57.0
Nikola Jovic,MIA,1,1,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norman Powell,LAC,5,1,4,33.5,21.8,6.8,50.0,4.8,40.0,4.6,37.5,0.8,66.7,0.0,0.0,0.4,33.3,55.9
Obi Toppin,NYK,9,5,4,16.7,7.6,1.3,50.0,3.3,30.3,1.0,40.0,2.1,80.0,0.0,0.0,0.2,100.0,52.4
Omer Yurtseven,MIA,2,2,0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onyeka Okongwu,ATL,6,2,4,21.9,6.0,0.0,0.0,0.5,33.3,0.0,0.0,4.8,68.4,0.3,100.0,0.7,50.0,62.0
P.J. Tucker,PHI,8,6,2,27.5,4.0,0.0,0.0,3.0,32.0,0.0,0.0,0.9,60.0,0.0,0.0,0.0,0.0,46.9
PJ Dozier,SAC,3,1,2,2.0,2.7,0.7,100.0,1.0,33.3,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7
Pat Connaughton,MIL,4,1,3,22.1,12.0,1.5,75.0,7.5,45.5,0.8,100.0,0.5,50.0,0.0,0.0,0.0,0.0,75.0
