Year,Conference,Round,Team with home-court (seed),Team with home-court odds,Team w/o home-court (seed),Team w/o home-court odds,Winning Team,Series Score,team
1997,,NBA Finals,Chicago Bulls (1),-600.0,Utah Jazz (1),400.0,Chicago Bulls,4-2,CHI
1997,Eastern,Conf Finals,Chicago Bulls (1),-1700.0,Miami Heat (2),1100.0,Chicago Bulls,4-1,CHI
1997,Eastern,Conf Semis,Chicago Bulls (1),-1700.0,Atlanta Hawks (4),1100.0,Chicago Bulls,4-1,CHI
1997,Eastern,Round 1,Chicago Bulls (1),-2500.0,Washington Bullets (8),1800.0,Chicago Bulls,3-0,CHI
1996,,NBA Finals,Chicago Bulls (1),-950.0,Seattle SuperSonics (2),650.0,Chicago Bulls,4-2,CHI
1996,Eastern,Conf Finals,Chicago Bulls (1),-500.0,Orlando Magic (2),350.0,Chicago Bulls,4-0,CHI
1996,Eastern,Conf Semis,Chicago Bulls (1),-3500.0,New York Knicks (5),2200.0,Chicago Bulls,4-1,CHI
1996,Eastern,Round 1,Chicago Bulls (1),-2500.0,Miami Heat (8),1800.0,Chicago Bulls,3-0,CHI
1995,Eastern,Conf Semis,Orlando Magic (1),165.0,Chicago Bulls (5),-185.0,Orlando Magic,4-2,CHI
1995,Eastern,Round 1,Charlotte Hornets (4),280.0,Chicago Bulls (5),-360.0,Chicago Bulls,3-1,CHI
1994,Eastern,Conf Semis,New York Knicks (2),-180.0,Chicago Bulls (3),160.0,New York Knicks,4-3,CHI
1994,Eastern,Round 1,Chicago Bulls (3),-250.0,Cleveland Cavaliers (6),200.0,Chicago Bulls,3-0,CHI
1993,,NBA Finals,Phoenix Suns (1),190.0,Chicago Bulls (2),-240.0,Chicago Bulls,4-2,CHI
1993,Eastern,Conf Finals,New York Knicks (1),130.0,Chicago Bulls (2),-150.0,Chicago Bulls,4-2,CHI
1993,Eastern,Conf Semis,Chicago Bulls (2),-500.0,Cleveland Cavaliers (3),350.0,Chicago Bulls,4-0,CHI
1993,Eastern,Round 1,Chicago Bulls (2),-1200.0,Atlanta Hawks (7),800.0,Chicago Bulls,3-0,CHI
1992,,NBA Finals,Chicago Bulls (1),-250.0,Portland Trail Blazers (1),200.0,Chicago Bulls,4-2,CHI
1992,Eastern,Conf Finals,Chicago Bulls (1),-650.0,Cleveland Cavaliers (3),450.0,Chicago Bulls,4-2,CHI
1992,Eastern,Conf Semis,Chicago Bulls (1),-2500.0,New York Knicks (4),1700.0,Chicago Bulls,4-3,CHI
1992,Eastern,Round 1,Chicago Bulls (1),-10000.0,Miami Heat (8),7500.0,Chicago Bulls,3-0,CHI
1991,,NBA Finals,Chicago Bulls (1),-200.0,Los Angeles Lakers (3),170.0,Chicago Bulls,4-1,CHI
1991,Eastern,Conf Finals,Chicago Bulls (1),-270.0,Detroit Pistons (3),210.0,Chicago Bulls,4-0,CHI
1991,Eastern,Conf Semis,Chicago Bulls (1),-500.0,Philadelphia 76ers (5),350.0,Chicago Bulls,4-1,CHI
1991,Eastern,Round 1,Chicago Bulls (1),-1200.0,New York Knicks (8),800.0,Chicago Bulls,3-0,CHI
1990,Eastern,Conf Finals,Detroit Pistons (1),-280.0,Chicago Bulls (3),220.0,Detroit Pistons,4-3,CHI
1990,Eastern,Conf Semis,Chicago Bulls (3),-160.0,Philadelphia 76ers (2),140.0,Chicago Bulls,4-1,CHI
1990,Eastern,Round 1,Chicago Bulls (3),-650.0,Milwaukee Bucks (6),450.0,Chicago Bulls,3-1,CHI
1989,Eastern,Conf Finals,Detroit Pistons (1),-650.0,Chicago Bulls (6),450.0,Detroit Pistons,4-2,CHI
1989,Eastern,Conf Semis,New York Knicks (2),-450.0,Chicago Bulls (6),300.0,Chicago Bulls,4-2,CHI
1989,Eastern,Round 1,Cleveland Cavaliers (3),-500.0,Chicago Bulls (6),350.0,Chicago Bulls,3-2,CHI
1988,Eastern,Conf Semis,Detroit Pistons (2),-240.0,Chicago Bulls (3),200.0,Detroit Pistons,4-1,CHI
1988,Eastern,Round 1,Chicago Bulls (3),-300.0,Cleveland Cavaliers (6),240.0,Chicago Bulls,3-2,CHI
1987,Eastern,Round 1,Boston Celtics (1),,Chicago Bulls (8),,Boston Celtics,3-0,CHI
1986,Eastern,Round 1,Boston Celtics (1),,Chicago Bulls (8),,Boston Celtics,3-0,CHI
1985,Eastern,Round 1,Milwaukee Bucks (2),,Chicago Bulls (7),,Milwaukee Bucks,3-1,CHI
1981,Eastern,Conf Semis,Boston Celtics (1),-180.0,Chicago Bulls (5),160.0,Boston Celtics,4-0,CHI
1981,Eastern,Round 1,New York Knicks (4),,Chicago Bulls (5),,Chicago Bulls,2-0,CHI
1977,Western,Round 1,Portland Trail Blazers (3),,Chicago Bulls (6),,Portland Trail Blazers,2-1,CHI
1975,Western,Conf Finals,Golden State Warriors (1),100.0,Chicago Bulls (2),-120.0,Golden State Warriors,4-3,CHI
1975,Western,Conf Semis,Chicago Bulls (2),,Kansas City Kings (3),,Chicago Bulls,4-2,CHI
1974,Western,Conf Finals,Milwaukee Bucks (1),,Chicago Bulls (3),,Milwaukee Bucks,4-0,CHI
1974,Western,Conf Semis,Chicago Bulls (3),,Detroit Pistons (4),,Chicago Bulls,4-3,CHI
1973,Western,Conf Semis,Los Angeles Lakers (2),,Chicago Bulls (3),,Los Angeles Lakers,4-3,CHI
1972,Western,Conf Semis,Los Angeles Lakers (1),,Chicago Bulls (3),,Los Angeles Lakers,4-0,CHI
1971,Western,Conf Semis,Los Angeles Lakers (2),,Chicago Bulls (3),,Los Angeles Lakers,4-3,CHI
1970,Western,Conf Semis,Atlanta Hawks (1),,Chicago Bulls (3),,Atlanta Hawks,4-1,CHI
1968,Western,Conf Semis,Los Angeles Lakers (2),,Chicago Bulls (4),,Los Angeles Lakers,4-2,CHI
2024,Eastern,Conf Semis,Boston Celtics (1),-2500.0,Cleveland Cavaliers (4),1100.0,Boston Celtics,4-1,CLE
2024,Eastern,Round 1,Cleveland Cavaliers (4),-210.0,Orlando Magic (5),180.0,Cleveland Cavaliers,4-3,CLE
2023,Eastern,Round 1,Cleveland Cavaliers (4),-190.0,New York Knicks (5),170.0,New York Knicks,4-1,CLE
2018,,NBA Finals,Golden State Warriors (2),-1075.0,Cleveland Cavaliers (4),688.0,Golden State Warriors,4-0,CLE
2018,Eastern,Conf Finals,Boston Celtics (2),235.0,Cleveland Cavaliers (4),-275.0,Cleveland Cavaliers,4-3,CLE
2018,Eastern,Conf Semis,Toronto Raptors (1),-190.0,Cleveland Cavaliers (4),165.0,Cleveland Cavaliers,4-0,CLE
2018,Eastern,Round 1,Cleveland Cavaliers (4),-600.0,Indiana Pacers (5),450.0,Cleveland Cavaliers,4-3,CLE
2017,,NBA Finals,Golden State Warriors (1),-300.0,Cleveland Cavaliers (2),250.0,Golden State Warriors,4-1,CLE
2017,Eastern,Conf Finals,Boston Celtics (1),500.0,Cleveland Cavaliers (2),-700.0,Cleveland Cavaliers,4-1,CLE
2017,Eastern,Conf Semis,Cleveland Cavaliers (2),-475.0,Toronto Raptors (3),380.0,Cleveland Cavaliers,4-0,CLE
2017,Eastern,Round 1,Cleveland Cavaliers (2),-1100.0,Indiana Pacers (7),700.0,Cleveland Cavaliers,4-0,CLE
2016,,NBA Finals,Golden State Warriors (1),-220.0,Cleveland Cavaliers (1),180.0,Cleveland Cavaliers,4-3,CLE
2016,Eastern,Conf Finals,Cleveland Cavaliers (1),-1350.0,Toronto Raptors (2),885.0,Cleveland Cavaliers,4-2,CLE
2016,Eastern,Conf Semis,Cleveland Cavaliers (1),-500.0,Atlanta Hawks (4),400.0,Cleveland Cavaliers,4-0,CLE
2016,Eastern,Round 1,Cleveland Cavaliers (1),-1700.0,Detroit Pistons (8),1100.0,Cleveland Cavaliers,4-0,CLE
2015,,NBA Finals,Golden State Warriors (1),-220.0,Cleveland Cavaliers (2),190.0,Golden State Warriors,4-2,CLE
2015,Eastern,Conf Finals,Atlanta Hawks (1),165.0,Cleveland Cavaliers (2),-190.0,Cleveland Cavaliers,4-0,CLE
2015,Eastern,Conf Semis,Cleveland Cavaliers (2),-240.0,Chicago Bulls (3),200.0,Cleveland Cavaliers,4-2,CLE
2015,Eastern,Round 1,Cleveland Cavaliers (2),-5000.0,Boston Celtics (7),2100.0,Cleveland Cavaliers,4-0,CLE
2010,Eastern,Conf Semis,Cleveland Cavaliers (1),-480.0,Boston Celtics (4),380.0,Boston Celtics,4-2,CLE
2010,Eastern,Round 1,Cleveland Cavaliers (1),-3000.0,Chicago Bulls (8),1400.0,Cleveland Cavaliers,4-1,CLE
2009,Eastern,Conf Finals,Cleveland Cavaliers (1),-700.0,Orlando Magic (3),550.0,Orlando Magic,4-2,CLE
2009,Eastern,Conf Semis,Cleveland Cavaliers (1),-2450.0,Atlanta Hawks (4),1000.0,Cleveland Cavaliers,4-0,CLE
2009,Eastern,Round 1,Cleveland Cavaliers (1),-5000.0,Detroit Pistons (8),3000.0,Cleveland Cavaliers,4-0,CLE
2008,Eastern,Conf Semis,Boston Celtics (1),-900.0,Cleveland Cavaliers (4),600.0,Boston Celtics,4-3,CLE
2008,Eastern,Round 1,Cleveland Cavaliers (4),-115.0,Washington Wizards (5),-105.0,Cleveland Cavaliers,4-2,CLE
2007,,NBA Finals,San Antonio Spurs (3),-450.0,Cleveland Cavaliers (2),360.0,San Antonio Spurs,4-0,CLE
2007,Eastern,Conf Finals,Detroit Pistons (1),-330.0,Cleveland Cavaliers (2),270.0,Cleveland Cavaliers,4-2,CLE
2007,Eastern,Conf Semis,Cleveland Cavaliers (2),-260.0,New Jersey Nets (6),220.0,Cleveland Cavaliers,4-2,CLE
2007,Eastern,Round 1,Cleveland Cavaliers (2),-2400.0,Washington Wizards (7),1600.0,Cleveland Cavaliers,4-0,CLE
2006,Eastern,Conf Semis,Detroit Pistons (1),-2000.0,Cleveland Cavaliers (4),1200.0,Detroit Pistons,4-2,CLE
2006,Eastern,Round 1,Cleveland Cavaliers (4),-180.0,Washington Wizards (5),160.0,Cleveland Cavaliers,4-2,CLE
1998,Eastern,Round 1,Indiana Pacers (3),-450.0,Cleveland Cavaliers (6),325.0,Indiana Pacers,3-1,CLE
1996,Eastern,Round 1,Cleveland Cavaliers (4),-185.0,New York Knicks (5),165.0,New York Knicks,3-0,CLE
1995,Eastern,Round 1,New York Knicks (3),-400.0,Cleveland Cavaliers (6),300.0,New York Knicks,3-1,CLE
1994,Eastern,Round 1,Chicago Bulls (3),-250.0,Cleveland Cavaliers (6),200.0,Chicago Bulls,3-0,CLE
1993,Eastern,Conf Semis,Chicago Bulls (2),-500.0,Cleveland Cavaliers (3),350.0,Chicago Bulls,4-0,CLE
1993,Eastern,Round 1,Cleveland Cavaliers (3),-700.0,New Jersey Nets (6),500.0,Cleveland Cavaliers,3-2,CLE
1992,Eastern,Conf Finals,Chicago Bulls (1),-650.0,Cleveland Cavaliers (3),450.0,Chicago Bulls,4-2,CLE
1992,Eastern,Conf Semis,Cleveland Cavaliers (3),-170.0,Boston Celtics (2),130.0,Cleveland Cavaliers,4-3,CLE
1992,Eastern,Round 1,Cleveland Cavaliers (3),-850.0,New Jersey Nets (6),550.0,Cleveland Cavaliers,3-1,CLE
1990,Eastern,Round 1,Philadelphia 76ers (2),-450.0,Cleveland Cavaliers (7),325.0,Philadelphia 76ers,3-2,CLE
1989,Eastern,Round 1,Cleveland Cavaliers (3),-500.0,Chicago Bulls (6),350.0,Chicago Bulls,3-2,CLE
1988,Eastern,Round 1,Chicago Bulls (3),-300.0,Cleveland Cavaliers (6),240.0,Chicago Bulls,3-2,CLE
1985,Eastern,Round 1,Boston Celtics (1),,Cleveland Cavaliers (8),,Boston Celtics,3-1,CLE
1978,Eastern,Round 1,Cleveland Cavaliers (4),,New York Knicks (5),,New York Knicks,2-0,CLE
1977,Eastern,Round 1,Washington Bullets (3),,Cleveland Cavaliers (6),,Washington Bullets,2-1,CLE
1976,Eastern,Conf Finals,Boston Celtics (1),-250.0,Cleveland Cavaliers (2),200.0,Boston Celtics,4-2,CLE
1976,Eastern,Conf Semis,Cleveland Cavaliers (2),,Washington Bullets (3),,Cleveland Cavaliers,4-3,CLE
2024,,NBA Finals,Boston Celtics (1),-225.0,Dallas Mavericks (5),190.0,Boston Celtics,4-1,DAL
2024,Western,Conf Finals,Minnesota Timberwolves (3),-175.0,Dallas Mavericks (5),155.0,Dallas Mavericks,4-1,DAL
2024,Western,Conf Semis,Oklahoma City Thunder (1),-130.0,Dallas Mavericks (5),110.0,Dallas Mavericks,4-2,DAL
2024,Western,Round 1,Los Angeles Clippers (4),165.0,Dallas Mavericks (5),-190.0,Dallas Mavericks,4-2,DAL
2022,Western,Conf Finals,Golden State Warriors (3),-220.0,Dallas Mavericks (4),180.0,Golden State Warriors,4-1,DAL
2022,Western,Conf Semis,Phoenix Suns (1),-295.0,Dallas Mavericks (4),240.0,Dallas Mavericks,4-3,DAL
2022,Western,Round 1,Dallas Mavericks (4),245.0,Utah Jazz (5),-300.0,Dallas Mavericks,4-2,DAL
2021,Western,Round 1,Los Angeles Clippers (4),-400.0,Dallas Mavericks (5),310.0,Los Angeles Clippers,4-3,DAL
2020,Western,Round 1,Los Angeles Clippers (2),-630.0,Dallas Mavericks (7),465.0,Los Angeles Clippers,4-2,DAL
2016,Western,Round 1,Oklahoma City Thunder (3),-3500.0,Dallas Mavericks (6),1750.0,Oklahoma City Thunder,4-1,DAL
2015,Western,Round 1,Houston Rockets (2),-260.0,Dallas Mavericks (7),220.0,Houston Rockets,4-1,DAL
2014,Western,Round 1,San Antonio Spurs (1),-875.0,Dallas Mavericks (8),585.0,San Antonio Spurs,4-3,DAL
2012,Western,Round 1,Oklahoma City Thunder (2),-500.0,Dallas Mavericks (7),400.0,Oklahoma City Thunder,4-0,DAL
2011,,NBA Finals,Miami Heat (2),-175.0,Dallas Mavericks (3),155.0,Dallas Mavericks,4-2,DAL
2011,Western,Conf Finals,Dallas Mavericks (3),-240.0,Oklahoma City Thunder (4),200.0,Dallas Mavericks,4-1,DAL
2011,Western,Conf Semis,Los Angeles Lakers (2),-360.0,Dallas Mavericks (3),280.0,Dallas Mavericks,4-0,DAL
2011,Western,Round 1,Dallas Mavericks (3),-200.0,Portland Trail Blazers (6),160.0,Dallas Mavericks,4-2,DAL
2010,Western,Round 1,Dallas Mavericks (2),-150.0,San Antonio Spurs (7),130.0,San Antonio Spurs,4-2,DAL
2009,Western,Conf Semis,Denver Nuggets (2),-240.0,Dallas Mavericks (6),200.0,Denver Nuggets,4-1,DAL
2009,Western,Round 1,San Antonio Spurs (3),-190.0,Dallas Mavericks (6),160.0,Dallas Mavericks,4-1,DAL
2008,Western,Round 1,New Orleans Hornets (2),-145.0,Dallas Mavericks (7),125.0,New Orleans Hornets,4-1,DAL
2007,Western,Round 1,Dallas Mavericks (1),-1800.0,Golden State Warriors (8),1200.0,Golden State Warriors,4-2,DAL
2006,,NBA Finals,Dallas Mavericks (4),-150.0,Miami Heat (2),130.0,Miami Heat,4-2,DAL
2006,Western,Conf Finals,Dallas Mavericks (4),-355.0,Phoenix Suns (2),295.0,Dallas Mavericks,4-2,DAL
2006,Western,Conf Semis,San Antonio Spurs (1),-180.0,Dallas Mavericks (4),150.0,Dallas Mavericks,4-3,DAL
2006,Western,Round 1,Dallas Mavericks (4),-725.0,Memphis Grizzlies (5),525.0,Dallas Mavericks,4-0,DAL
2005,Western,Conf Semis,Phoenix Suns (1),-300.0,Dallas Mavericks (4),220.0,Phoenix Suns,4-2,DAL
2005,Western,Round 1,Dallas Mavericks (4),-220.0,Houston Rockets (5),180.0,Dallas Mavericks,4-3,DAL
2004,Western,Round 1,Sacramento Kings (4),-164.0,Dallas Mavericks (5),148.0,Sacramento Kings,4-1,DAL
2003,Western,Conf Finals,San Antonio Spurs (1),-380.0,Dallas Mavericks (3),320.0,San Antonio Spurs,4-2,DAL
2003,Western,Conf Semis,Dallas Mavericks (3),240.0,Sacramento Kings (2),-280.0,Dallas Mavericks,4-3,DAL
2003,Western,Round 1,Dallas Mavericks (3),-400.0,Portland Trail Blazers (6),320.0,Dallas Mavericks,4-3,DAL
2002,Western,Conf Semis,Sacramento Kings (1),-155.0,Dallas Mavericks (4),135.0,Sacramento Kings,4-1,DAL
2002,Western,Round 1,Dallas Mavericks (4),-500.0,Minnesota Timberwolves (5),400.0,Dallas Mavericks,3-0,DAL
2001,Western,Conf Semis,San Antonio Spurs (1),-650.0,Dallas Mavericks (5),450.0,San Antonio Spurs,4-1,DAL
2001,Western,Round 1,Utah Jazz (4),-180.0,Dallas Mavericks (5),160.0,Dallas Mavericks,3-2,DAL
1990,Western,Round 1,Portland Trail Blazers (3),-600.0,Dallas Mavericks (6),400.0,Portland Trail Blazers,3-0,DAL
1988,Western,Conf Finals,Los Angeles Lakers (1),-450.0,Dallas Mavericks (3),300.0,Los Angeles Lakers,4-3,DAL
1988,Western,Conf Semis,Denver Nuggets (2),-170.0,Dallas Mavericks (3),150.0,Dallas Mavericks,4-2,DAL
1988,Western,Round 1,Dallas Mavericks (3),-400.0,Houston Rockets (6),300.0,Dallas Mavericks,3-1,DAL
1987,Western,Round 1,Dallas Mavericks (2),,Seattle SuperSonics (7),,Seattle SuperSonics,3-1,DAL
1986,Western,Conf Semis,Los Angeles Lakers (1),,Dallas Mavericks (4),,Los Angeles Lakers,4-2,DAL
1986,Western,Round 1,Dallas Mavericks (4),,Utah Jazz (5),,Dallas Mavericks,3-1,DAL
1985,Western,Round 1,Dallas Mavericks (4),,Portland Trail Blazers (5),,Portland Trail Blazers,3-1,DAL
1984,Western,Conf Semis,Los Angeles Lakers (1),,Dallas Mavericks (4),,Los Angeles Lakers,4-1,DAL
1984,Western,Round 1,Dallas Mavericks (4),,Seattle SuperSonics (5),,Dallas Mavericks,3-2,DAL
2024,Western,Conf Semis,Denver Nuggets (2),-200.0,Minnesota Timberwolves (3),170.0,Minnesota Timberwolves,4-3,DEN
2024,Western,Round 1,Denver Nuggets (2),-340.0,Los Angeles Lakers (7),280.0,Denver Nuggets,4-1,DEN
2023,,NBA Finals,Denver Nuggets (1),-430.0,Miami Heat (8),330.0,Denver Nuggets,4-1,DEN
2023,Western,Conf Finals,Denver Nuggets (1),-170.0,Los Angeles Lakers (7),145.0,Denver Nuggets,4-0,DEN
2023,Western,Conf Semis,Denver Nuggets (1),100.0,Phoenix Suns (4),-120.0,Denver Nuggets,4-2,DEN
2023,Western,Round 1,Denver Nuggets (1),-550.0,Minnesota Timberwolves (8),425.0,Denver Nuggets,4-1,DEN
2022,Western,Round 1,Golden State Warriors (3),-275.0,Denver Nuggets (6),225.0,Golden State Warriors,4-1,DEN
2021,Western,Conf Semis,Phoenix Suns (2),-210.0,Denver Nuggets (3),175.0,Phoenix Suns,4-0,DEN
2021,Western,Round 1,Denver Nuggets (3),110.0,Portland Trail Blazers (6),-130.0,Denver Nuggets,4-2,DEN
2020,Western,Conf Finals,Los Angeles Lakers (1),-550.0,Denver Nuggets (3),425.0,Los Angeles Lakers,4-1,DEN
2020,Western,Conf Semis,Los Angeles Clippers (2),-1300.0,Denver Nuggets (3),850.0,Denver Nuggets,4-3,DEN
2020,Western,Round 1,Denver Nuggets (3),-285.0,Utah Jazz (6),243.0,Denver Nuggets,4-3,DEN
2019,Western,Conf Semis,Denver Nuggets (2),-145.0,Portland Trail Blazers (3),125.0,Portland Trail Blazers,4-3,DEN
2019,Western,Round 1,Denver Nuggets (2),-270.0,San Antonio Spurs (7),230.0,Denver Nuggets,4-3,DEN
2013,Western,Round 1,Denver Nuggets (3),-460.0,Golden State Warriors (6),355.0,Golden State Warriors,4-2,DEN
2012,Western,Round 1,Los Angeles Lakers (3),-240.0,Denver Nuggets (6),195.0,Los Angeles Lakers,4-3,DEN
2011,Western,Round 1,Oklahoma City Thunder (4),-220.0,Denver Nuggets (5),170.0,Oklahoma City Thunder,4-1,DEN
2010,Western,Round 1,Denver Nuggets (4),-175.0,Utah Jazz (5),150.0,Utah Jazz,4-2,DEN
2009,Western,Conf Finals,Los Angeles Lakers (1),-250.0,Denver Nuggets (2),210.0,Los Angeles Lakers,4-2,DEN
2009,Western,Conf Semis,Denver Nuggets (2),-240.0,Dallas Mavericks (6),200.0,Denver Nuggets,4-1,DEN
2009,Western,Round 1,Denver Nuggets (2),-210.0,New Orleans Hornets (7),175.0,Denver Nuggets,4-1,DEN
2008,Western,Round 1,Los Angeles Lakers (1),-560.0,Denver Nuggets (8),460.0,Los Angeles Lakers,4-0,DEN
2007,Western,Round 1,San Antonio Spurs (3),-750.0,Denver Nuggets (6),550.0,San Antonio Spurs,4-1,DEN
2006,Western,Round 1,Los Angeles Clippers (6),-185.0,Denver Nuggets (3),145.0,Los Angeles Clippers,4-1,DEN
2005,Western,Round 1,San Antonio Spurs (2),-500.0,Denver Nuggets (7),400.0,San Antonio Spurs,4-1,DEN
2004,Western,Round 1,Minnesota Timberwolves (1),-1920.0,Denver Nuggets (8),1540.0,Minnesota Timberwolves,4-1,DEN
1995,Western,Round 1,San Antonio Spurs (1),-600.0,Denver Nuggets (8),400.0,San Antonio Spurs,3-0,DEN
1994,Western,Conf Semis,Utah Jazz (5),-650.0,Denver Nuggets (8),450.0,Utah Jazz,4-3,DEN
1994,Western,Round 1,Seattle SuperSonics (1),-2000.0,Denver Nuggets (8),1400.0,Denver Nuggets,3-2,DEN
1990,Western,Round 1,San Antonio Spurs (2),-500.0,Denver Nuggets (7),350.0,San Antonio Spurs,3-0,DEN
1989,Western,Round 1,Phoenix Suns (3),-1000.0,Denver Nuggets (6),700.0,Phoenix Suns,3-0,DEN
1988,Western,Conf Semis,Denver Nuggets (2),-170.0,Dallas Mavericks (3),150.0,Dallas Mavericks,4-2,DEN
1988,Western,Round 1,Denver Nuggets (2),-500.0,Seattle SuperSonics (7),350.0,Denver Nuggets,3-2,DEN
1987,Western,Round 1,Los Angeles Lakers (1),,Denver Nuggets (8),,Los Angeles Lakers,3-0,DEN
1986,Western,Conf Semis,Houston Rockets (2),,Denver Nuggets (3),,Houston Rockets,4-2,DEN
1986,Western,Round 1,Denver Nuggets (3),,Portland Trail Blazers (6),,Denver Nuggets,3-1,DEN
1985,Western,Conf Finals,Los Angeles Lakers (1),,Denver Nuggets (2),,Los Angeles Lakers,4-1,DEN
1985,Western,Conf Semis,Denver Nuggets (2),,Utah Jazz (6),,Denver Nuggets,4-1,DEN
1985,Western,Round 1,Denver Nuggets (2),,San Antonio Spurs (7),,Denver Nuggets,3-2,DEN
1984,Western,Round 1,Utah Jazz (2),,Denver Nuggets (7),,Utah Jazz,3-2,DEN
1983,Western,Conf Semis,San Antonio Spurs (2),,Denver Nuggets (6),,San Antonio Spurs,4-1,DEN
1983,Western,Round 1,Phoenix Suns (3),,Denver Nuggets (6),,Denver Nuggets,2-1,DEN
1982,Western,Round 1,Denver Nuggets (4),,Phoenix Suns (5),,Phoenix Suns,2-1,DEN
1979,Western,Round 1,Denver Nuggets (4),,Los Angeles Lakers (5),,Los Angeles Lakers,2-1,DEN
1978,Western,Conf Finals,Denver Nuggets (2),-160.0,Seattle SuperSonics (4),140.0,Seattle SuperSonics,4-2,DEN
1978,Western,Conf Semis,Denver Nuggets (2),,Milwaukee Bucks (6),,Denver Nuggets,4-3,DEN
1977,Western,Conf Semis,Denver Nuggets (2),,Portland Trail Blazers (3),,Portland Trail Blazers,4-2,DEN
2019,Eastern,Round 1,Milwaukee Bucks (1),-3500.0,Detroit Pistons (8),1750.0,Milwaukee Bucks,4-0,DET
2016,Eastern,Round 1,Cleveland Cavaliers (1),-1700.0,Detroit Pistons (8),1100.0,Cleveland Cavaliers,4-0,DET
2009,Eastern,Round 1,Cleveland Cavaliers (1),-5000.0,Detroit Pistons (8),3000.0,Cleveland Cavaliers,4-0,DET
2008,Eastern,Conf Finals,Boston Celtics (1),-135.0,Detroit Pistons (2),115.0,Boston Celtics,4-2,DET
2008,Eastern,Conf Semis,Detroit Pistons (2),-305.0,Orlando Magic (3),255.0,Detroit Pistons,4-1,DET
2008,Eastern,Round 1,Detroit Pistons (2),-1300.0,Philadelphia 76ers (7),850.0,Detroit Pistons,4-2,DET
2007,Eastern,Conf Finals,Detroit Pistons (1),-330.0,Cleveland Cavaliers (2),270.0,Cleveland Cavaliers,4-2,DET
2007,Eastern,Conf Semis,Detroit Pistons (1),-175.0,Chicago Bulls (5),155.0,Detroit Pistons,4-2,DET
2007,Eastern,Round 1,Detroit Pistons (1),-2200.0,Orlando Magic (8),1400.0,Detroit Pistons,4-0,DET
2006,Eastern,Conf Finals,Detroit Pistons (1),-245.0,Miami Heat (2),205.0,Miami Heat,4-2,DET
2006,Eastern,Conf Semis,Detroit Pistons (1),-2000.0,Cleveland Cavaliers (4),1200.0,Detroit Pistons,4-2,DET
2006,Eastern,Round 1,Detroit Pistons (1),-5500.0,Milwaukee Bucks (8),3250.0,Detroit Pistons,4-1,DET
2005,,NBA Finals,San Antonio Spurs (2),-250.0,Detroit Pistons (2),200.0,San Antonio Spurs,4-3,DET
2005,Eastern,Conf Finals,Miami Heat (1),-130.0,Detroit Pistons (2),110.0,Detroit Pistons,4-3,DET
2005,Eastern,Conf Semis,Detroit Pistons (2),-1100.0,Indiana Pacers (6),700.0,Detroit Pistons,4-2,DET
2005,Eastern,Round 1,Detroit Pistons (2),-1200.0,Philadelphia 76ers (7),800.0,Detroit Pistons,4-1,DET
2004,,NBA Finals,Los Angeles Lakers (2),-700.0,Detroit Pistons (3),500.0,Detroit Pistons,4-1,DET
2004,Eastern,Conf Finals,Indiana Pacers (1),-165.0,Detroit Pistons (3),145.0,Detroit Pistons,4-2,DET
2004,Eastern,Conf Semis,Detroit Pistons (3),-180.0,New Jersey Nets (2),160.0,Detroit Pistons,4-3,DET
2004,Eastern,Round 1,Detroit Pistons (3),-1780.0,Milwaukee Bucks (6),1430.0,Detroit Pistons,4-1,DET
2003,Eastern,Conf Finals,Detroit Pistons (1),250.0,New Jersey Nets (2),-300.0,New Jersey Nets,4-0,DET
2003,Eastern,Conf Semis,Detroit Pistons (1),130.0,Philadelphia 76ers (4),-150.0,Detroit Pistons,4-2,DET
2003,Eastern,Round 1,Detroit Pistons (1),-220.0,Orlando Magic (8),180.0,Detroit Pistons,4-3,DET
2002,Eastern,Conf Semis,Detroit Pistons (2),-125.0,Boston Celtics (3),105.0,Boston Celtics,4-1,DET
2002,Eastern,Round 1,Detroit Pistons (2),-450.0,Toronto Raptors (7),325.0,Detroit Pistons,3-2,DET
2000,Eastern,Round 1,Miami Heat (2),,Detroit Pistons (7),,Miami Heat,3-0,DET
1999,Eastern,Round 1,Atlanta Hawks (4),-160.0,Detroit Pistons (5),140.0,Atlanta Hawks,3-2,DET
1997,Eastern,Round 1,Atlanta Hawks (4),-170.0,Detroit Pistons (5),150.0,Atlanta Hawks,3-2,DET
1996,Eastern,Round 1,Orlando Magic (2),-1500.0,Detroit Pistons (7),1000.0,Orlando Magic,3-0,DET
1992,Eastern,Round 1,New York Knicks (4),-160.0,Detroit Pistons (5),120.0,New York Knicks,3-2,DET
1991,Eastern,Conf Finals,Chicago Bulls (1),-270.0,Detroit Pistons (3),210.0,Chicago Bulls,4-0,DET
1991,Eastern,Conf Semis,Boston Celtics (2),-270.0,Detroit Pistons (3),210.0,Detroit Pistons,4-2,DET
1991,Eastern,Round 1,Detroit Pistons (3),-400.0,Atlanta Hawks (6),300.0,Detroit Pistons,3-2,DET
1990,,NBA Finals,Detroit Pistons (1),-400.0,Portland Trail Blazers (3),300.0,Detroit Pistons,4-1,DET
1990,Eastern,Conf Finals,Detroit Pistons (1),-280.0,Chicago Bulls (3),220.0,Detroit Pistons,4-3,DET
1990,Eastern,Conf Semis,Detroit Pistons (1),-1500.0,New York Knicks (5),1000.0,Detroit Pistons,4-1,DET
