bref_id,Player,Season,team,Offensive Archetype,Minutes,Games,Pos,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,NBA ID,boxLEBRON,boxOLEBRON,boxDLEBRON,year
jonesde02,derrick jones jr.,2022-23,CHI,Stretch Big,477,32,SF,25,-0.61,-0.95,0.34,0.50,1627884.0,-0.53,-1.21,0.68,2023
baglema01,marvin bagley iii,2022-23,DET,Roll + Cut Big,531,25,C,23,-0.61,-0.79,0.18,0.60,1628963.0,-0.23,-0.34,0.11,2023
bolmale01,leandro bolmaro,2022-23,UTA,Low Minute,58,10,SG,22,-0.61,-0.5,-0.11,0.10,1630195.0,-0.9,-0.61,-0.28,2023
quetane01,neemias queta,2022-23,SAC,Low Minute,25,4,C,23,-0.62,-0.42,-0.2,0.00,1629674.0,-0.41,-0.3,-0.11,2023
harremo01,montrezl harrell,2022-23,PHI,Post Scorer,475,38,C,28,-0.62,-0.37,-0.25,0.50,1626149.0,-0.64,-0.6,-0.04,2023
middlkh01,khris middleton,2022-23,MIL,Shot Creator,171,7,SF,31,-0.63,-0.12,-0.5,0.20,203114.0,-0.06,0.03,-0.09,2023
martica02,caleb martin,2022-23,MIA,Athletic Finisher,1067,34,PF,27,-0.63,-1.58,0.95,1.20,1628997.0,-0.85,-1.59,0.75,2023
mykhasv01,svi mykhailiuk,2022-23,NYK,Low Minute,39,12,SF,25,-0.64,-0.58,-0.05,0.00,1629004.0,-0.78,-0.46,-0.31,2023
thybuma01,matisse thybulle,2022-23,PHI,Athletic Finisher,462,38,SG,25,-0.64,-2.03,1.39,0.50,1629680.0,-1.73,-2.49,0.76,2023
strusma01,max strus,2022-23,MIA,Movement Shooter,1308,42,SF,26,-0.64,-0.65,0.01,1.50,1629622.0,-0.67,-0.48,-0.2,2023
keelstr01,trevor keels,2022-23,NYK,Low Minute,1,1,SG,19,-0.65,-0.32,-0.32,0.00,1631211.0,-0.65,-0.33,-0.32,2023
willija07,jaylin williams,2022-23,OKC,Stretch Big,149,12,PF,20,-0.65,-0.88,0.23,0.20,1631119.0,-0.82,-0.87,0.05,2023
suggsja01,jalen suggs,2022-23,ORL,Secondary Ball Handler,475,19,PG,21,-0.66,-0.48,-0.18,0.50,1630591.0,-0.39,-0.28,-0.11,2023
olynyke01,kelly olynyk,2022-23,UTA,Stretch Big,1114,39,C,31,-0.66,-1.08,0.42,1.20,203482.0,0.25,-0.36,0.62,2023
avdijde01,deni avdija,2022-23,WAS,Stationary Shooter,1066,41,SF,22,-0.67,-1.99,1.32,1.20,1630166.0,-0.53,-1.53,0.99,2023
culveja01,jarrett culver,2022-23,ATL,Athletic Finisher,137,10,SG,23,-0.67,-0.61,-0.06,0.20,1629633.0,-0.91,-0.81,-0.1,2023
maledth01,theo maledon,2022-23,CHO,Movement Shooter,562,35,PG,21,-0.67,-0.14,-0.53,0.60,1630177.0,-0.86,-1.06,0.2,2023
portemi01,michael porter jr.,2022-23,DEN,Athletic Finisher,812,28,SF,24,-0.67,-0.14,-0.53,0.90,1629008.0,0.51,0.67,-0.16,2023
arcidry01,ryan arcidiacono,2022-23,NYK,Low Minute,25,10,PG,28,-0.69,-0.52,-0.18,0.00,1627853.0,-0.76,-0.48,-0.28,2023
