PLAYER_ID,PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%
1630695,Micah Potter,UTA,26.0,25,2,2.7,0,2,0.0,0.0,2.7,0,2,0.0,0.0,0,0,
201988,Patty Mills,LAC,36.0,20,2,2.5,0,2,0.0,0.0,1.3,0,1,0.0,1.3,0,1,0.0
1630573,Sam Hauser,BOS,27.0,45,1,0.7000000000000001,0,2,0.0,0.0,0.4,0,1,0.0,0.4,0,1,0.0
1629162,Jordan McLaughlin,SAS,28.0,29,2,4.5,0,2,0.0,0.0,4.5,0,2,0.0,0.0,0,0,
1642278,Tyler Kolek,NYK,23.0,29,2,4.3,0,2,0.0,0.0,4.3,0,2,0.0,0.0,0,0,
201587,Nicolas Batum,LAC,36.0,52,2,1.3,0,2,0.0,0.0,0.7000000000000001,0,1,0.0,0.7000000000000001,0,1,0.0
203939,Dwight Powell,DAL,33.0,33,2,11.1,0,2,0.0,0.0,11.1,0,2,0.0,0.0,0,0,
1630545,Terrence Shannon Jr.,MIN,24.0,16,1,2.3,1,1,100.0,100.0,2.3,1,1,100.0,0.0,0,0,
1631386,Taze Moore,POR,26.0,2,1,10.0,1,1,100.0,100.0,10.0,1,1,100.0,0.0,0,0,
1631216,Caleb Houstan,ORL,22.0,37,1,1.0,1,1,100.0,100.0,1.0,1,1,100.0,0.0,0,0,
1641753,Chris Livingston,MIL,21.0,12,1,7.7,1,1,100.0,100.0,7.7,1,1,100.0,0.0,0,0,
1641727,Dariq Whitehead,BKN,20.0,9,1,4.0,1,1,100.0,100.0,4.0,1,1,100.0,0.0,0,0,
1631131,Oscar Tshiebwe,UTA,25.0,4,1,16.7,1,1,100.0,100.0,16.7,1,1,100.0,0.0,0,0,
1626196,Josh Richardson,MIA,31.0,8,1,2.6,1,1,100.0,100.0,2.6,1,1,100.0,0.0,0,0,
1630550,JT Thor,CLE,22.0,9,1,6.7,1,1,100.0,100.0,6.7,1,1,100.0,0.0,0,0,
1642352,Keshad Johnson,MIA,23.0,10,1,8.3,1,1,100.0,100.0,8.3,1,1,100.0,0.0,0,0,
1642422,Armel Traore,LAL,22.0,9,1,5.3,1,1,100.0,100.0,5.3,1,1,100.0,0.0,0,0,
1642024,Alex Reese,OKC,25.0,1,1,100.0,1,1,100.0,100.0,100.0,1,1,100.0,0.0,0,0,
204060,Joe Ingles,MIN,37.0,16,1,5.3,1,1,100.0,100.0,5.3,1,1,100.0,0.0,0,0,
1641790,PJ Hall,DEN,22.0,14,1,8.3,1,1,100.0,100.0,8.3,1,1,100.0,0.0,0,0,
1641721,Maxwell Lewis,BKN,22.0,9,1,14.299999999999999,1,1,100.0,100.0,14.299999999999999,1,1,100.0,0.0,0,0,
