PLAYER,TEAM,GP,W,L,MIN,Touches,PostUps,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,PLAYER_ID,TEAM_ID
DeAndre Jordan,NOP,2,0,2,23.0,35,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,201599,1610612740
DeMar DeRozan,SAC,50,12,38,1654.0,2180,132,30,57,52.6,16,22,72.7,80,60.6,55,41.699999999999996,9,6.800000000000001,4,3.0,11,8.3,201942,1610612758
Dean Wade,CLE,41,24,17,934.0,1170,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1629731,1610612739
Deandre Ayton,LAL,42,26,16,1190.0,1673,43,16,26,61.5,2,2,100.0,34,79.10000000000001,9,20.9,1,2.3,4,9.3,1,2.3,1629028,1610612747
Deni Avdija,POR,44,21,23,1523.0,3791,22,3,5,60.0,2,2,100.0,8,36.4,13,59.099999999999994,0,0.0,0,0.0,1,4.5,1630166,1610612757
Dennis Schröder,SAC,40,8,32,1056.0,2585,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,203471,1610612758
Dereck Lively II,DAL,7,3,4,115.0,170,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641726,1610612742
Derik Queen,NOP,49,12,37,1274.0,2651,60,9,25,36.0,6,8,75.0,24,40.0,24,40.0,7,11.700000000000001,4,6.7,4,6.7,1642852,1610612740
Derrick Jones Jr.,LAC,17,7,10,411.0,499,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1627884,1610612746
Derrick White,BOS,46,28,18,1568.0,3678,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1628401,1610612738
Desmond Bane,ORL,47,25,22,1605.0,2925,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630217,1610612753
Devin Booker,PHX,41,26,15,1394.0,2692,34,3,10,30.0,4,4,100.0,11,32.4,17,50.0,6,17.599999999999998,2,5.8999999999999995,2,5.8999999999999995,1626164,1610612756
Devin Carter,SAC,14,1,13,119.0,208,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642269,1610612758
Devin Vassell,SAS,34,24,10,1073.0,1567,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630170,1610612759
Dillon Brooks,PHX,42,27,15,1294.0,1819,49,16,30,53.300000000000004,7,10,70.0,40,81.6,9,18.4,3,6.1,2,4.1000000000000005,6,12.2,1628415,1610612756
Dillon Jones,NYK,1,1,0,4.0,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641794,1610612752
Domantas Sabonis,SAC,18,3,15,540.0,1147,39,4,14,28.599999999999998,5,6,83.3,13,33.300000000000004,15,38.5,3,7.7,7,17.9,3,7.7,1627734,1610612758
Dominick Barlow,PHI,38,22,16,900.0,1027,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,1631230,1610612755
Donovan Clingan,POR,45,23,22,1231.0,1766,13,4,5,80.0,1,2,50.0,10,76.9,3,23.1,2,15.4,4,30.8,1,7.7,1642270,1610612757
Donovan Mitchell,CLE,45,27,18,1524.0,3381,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1628378,1610612739
Donte DiVincenzo,MIN,49,30,19,1541.0,2859,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1628978,1610612750
Dorian Finney-Smith,HOU,15,9,6,236.0,274,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1627827,1610612745
Doug McDermott,SAC,7,1,6,70.0,77,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,203926,1610612758
Drake Powell,BKN,35,10,25,658.0,897,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642962,1610612751
Draymond Green,GSW,41,23,18,1093.0,2844,7,0,2,0.0,0,0,0.0,0,0.0,5,71.39999999999999,1,14.299999999999999,0,0.0,0,0.0,203110,1610612744
Drew Eubanks,SAC,30,7,23,420.0,467,5,1,2,50.0,0,0,0.0,2,40.0,0,0.0,0,0.0,1,20.0,0,0.0,1629234,1610612758
Drew Peterson,CHA,6,1,5,64.0,78,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641809,1610612766
Drew Timme,LAL,14,8,6,121.0,180,8,3,6,50.0,0,0,0.0,6,75.0,2,25.0,0,0.0,0,0.0,0,0.0,1631166,1610612747
Dru Smith,MIA,46,23,23,790.0,1630,2,0,1,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,1630696,1610612748
Duncan Robinson,DET,44,33,11,1259.0,1482,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1629130,1610612765
Duop Reath,POR,32,16,16,258.0,305,2,1,2,50.0,0,0,0.0,3,150.0,0,0.0,0,0.0,0,0.0,0,0.0,1641871,1610612757
Dwight Powell,DAL,34,13,21,510.0,573,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,203939,1610612742
Dylan Cardwell,SAC,23,7,16,455.0,506,3,0,0,0.0,0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0,1642928,1610612758
Dylan Harper,SAS,37,26,11,791.0,1639,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642844,1610612759
Dyson Daniels,ATL,49,24,25,1667.0,3326,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0,1630700,1610612737
E.J. Liddell,BKN,8,1,7,35.0,43,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630604,1610612751
Egor Dëmin,BKN,40,13,27,991.0,2244,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642856,1610612751
Elijah Harkless,UTA,7,2,5,66.0,57,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641989,1610612762
Emanuel Miller,CHI,5,0,5,33.0,44,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641801,1610612741
Eric Gordon,PHI,6,3,3,74.0,103,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,201569,1610612755
Ethan Thompson,IND,20,4,16,306.0,425,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630679,1610612754
Evan Mobley,CLE,41,25,16,1364.0,2795,59,8,22,36.4,4,10,40.0,21,35.6,23,39.0,9,15.299999999999999,7,11.899999999999999,6,10.2,1630596,1610612739
Franz Wagner,ORL,26,15,11,854.0,1536,15,4,7,57.099999999999994,4,4,100.0,13,86.7,3,20.0,0,0.0,1,6.7,3,20.0,1630532,1610612753
GG Jackson,MEM,27,9,18,459.0,726,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1641713,1610612763
Gabe Vincent,LAL,27,16,11,525.0,639,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1629216,1610612747
Garrett Temple,TOR,13,5,8,36.0,69,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,202066,1610612761
Garrison Mathews,IND,15,4,11,196.0,255,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1629726,1610612754
Gary Harris,MIL,34,12,22,500.0,492,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,203914,1610612749
