PLAYER,TEAM,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated,AST PTSCreated.1,ASTAdj,AST ToPass%,AST ToPass% Adj
Lindy Waters III,OKC,8,6,2,62,61,61,5,2,7,11,6,8.2,9.8,
Lonnie Walker IV,BKN,17,9,8,362,282,431,28,5,49,78,38,9.9,13.5,
Luguentz Dort,OKC,17,11,6,482,302,327,22,1,41,59,26,7.3,8.6,
Luka Doncic,DAL,16,11,5,560,831,1007,126,22,236,337,160,15.2,19.3,
Luka Garza,MIN,4,2,2,13,13,17,0,0,0,0,0,0.0,0.0,
Luka Samanic,UTA,8,1,7,43,30,29,2,0,4,4,2,6.7,6.7,
Luke Kennard,MEM,8,2,6,172,170,179,16,3,31,38,20,9.4,11.8,
Luke Kornet,BOS,13,9,4,176,151,106,7,1,19,20,9,4.6,6.0,
Malachi Flynn,TOR,18,8,10,305,554,558,35,8,99,103,52,6.3,9.4,
Malaki Branham,SAS,18,3,15,371,401,404,41,9,69,95,51,10.2,12.7,
Malcolm Brogdon,POR,12,6,6,367,589,714,82,2,144,218,91,13.9,15.4,
Malcolm Cazalon,DET,1,0,1,3,1,0,0,0,0,0,0,0.0,0.0,
Malik Beasley,MIL,19,13,6,544,475,445,27,5,59,73,33,5.7,6.9,
Malik Monk,SAC,16,9,7,383,497,597,68,8,134,177,86,13.7,17.3,
MarJon Beauchamp,MIL,15,9,6,243,140,160,14,0,28,38,16,10.0,11.4,
Marcus Morris Sr.,PHI,11,6,5,117,99,91,5,2,9,13,7,5.1,7.1,
Marcus Sasser,DET,19,2,17,355,483,523,56,8,94,148,69,11.6,14.3,
Marcus Smart,MEM,11,2,9,329,417,493,55,3,112,132,60,13.2,14.4,
Mark Williams,CHA,17,6,11,459,387,247,21,6,26,56,28,5.4,7.2,
Markelle Fultz,ORL,4,2,2,115,167,172,17,2,37,41,20,10.2,12.0,
Markieff Morris,DAL,2,1,1,9,5,9,1,0,0,2,1,20.0,20.0,
Markquis Nowell,TOR,1,0,1,4,6,6,2,0,4,5,2,33.3,33.3,
Marques Bolden,MIL,1,1,0,3,6,3,0,0,0,0,0,0.0,0.0,
Marvin Bagley III,DET,18,2,16,336,375,339,23,2,28,58,26,6.1,6.9,
Mason Plumlee,LAC,6,3,3,102,139,89,6,1,14,20,9,4.3,6.5,
Matisse Thybulle,POR,17,6,11,364,303,213,19,1,40,51,24,6.3,7.9,
Matt Ryan,NOP,13,6,7,298,239,233,14,1,25,41,19,5.9,7.9,
Max Christie,LAL,15,7,8,264,212,191,15,2,23,36,16,7.1,7.5,
Max Strus,CLE,19,10,9,667,783,717,75,10,118,170,90,9.6,11.5,
Maxi Kleber,DAL,4,4,0,75,83,59,6,1,11,16,7,7.2,8.4,
Maxwell Lewis,LAL,9,3,6,40,19,19,2,0,5,4,2,10.5,10.5,
Michael Porter Jr.,DEN,17,11,6,525,485,466,27,6,39,63,34,5.6,7.0,
Mikal Bridges,BKN,18,9,9,630,661,777,71,13,126,181,86,10.7,13.0,
Mike Conley,MIN,18,14,4,526,991,988,108,15,158,274,133,10.9,13.4,
Mike Muscala,WAS,7,1,6,82,109,84,8,0,8,19,8,7.3,7.3,
Miles Bridges,CHA,7,3,4,255,239,230,18,3,35,43,20,7.5,8.4,
Miles McBride,NYK,12,7,5,54,59,63,3,1,4,7,4,5.1,6.8,
Mitchell Robinson,NYK,18,11,7,536,445,214,9,3,22,23,12,2.0,2.7,
Mo Bamba,PHI,8,6,2,38,39,32,0,0,1,0,0,0.0,0.0,
Moritz Wagner,ORL,17,13,4,325,364,390,22,2,47,56,24,6.0,6.6,
Moses Brown,POR,2,0,2,9,4,3,0,0,0,0,0,0.0,0.0,
Moses Moody,GSW,17,9,8,308,226,248,19,3,38,47,23,8.4,10.2,
Mouhamed Gueye,ATL,2,2,0,4,5,2,0,0,1,0,0,0.0,0.0,
Moussa Diabate,LAC,9,5,4,55,52,34,4,0,6,11,4,7.7,7.7,
Myles Turner,IND,17,9,8,452,342,428,24,2,26,61,28,7.0,8.2,
Naji Marshall,NOP,10,6,4,218,274,253,25,3,40,59,28,9.1,10.2,
Nassir Little,PHX,12,9,3,177,166,145,7,0,17,21,9,4.2,5.4,
Nate Hinton,HOU,3,2,1,13,25,24,0,0,3,0,0,0.0,0.0,
Nate Williams,HOU,4,2,2,22,17,19,2,0,2,4,2,11.8,11.8,
Naz Reid,MIN,18,14,4,382,367,358,11,3,32,31,17,3.0,4.6,
Neemias Queta,BOS,2,2,0,20,19,10,0,0,1,0,0,0.0,0.0,
Nic Claxton,BKN,9,4,5,247,244,207,14,2,23,32,18,5.7,7.4,
Nick Richards,CHA,11,3,8,192,153,97,4,0,10,11,5,2.6,3.3,
Nick Smith Jr.,CHA,8,3,5,57,39,54,2,0,10,6,2,5.1,5.1,
Nickeil Alexander-Walker,MIN,18,14,4,417,563,534,49,5,75,123,57,8.7,10.1,
Nicolas Batum,PHI,13,9,4,308,293,199,21,2,36,50,24,7.2,8.2,
Nikola Jokic,DEN,16,10,6,537,1196,1096,152,12,229,380,177,12.7,14.8,
Nikola Jovic,MIA,3,0,3,45,63,44,9,0,17,20,8,14.3,12.7,
Nikola Vucevic,CHI,19,6,13,658,807,817,61,8,113,167,73,7.6,9.0,
Noah Clowney,BKN,1,1,0,3,3,1,0,0,0,0,0,0.0,0.0,
Norman Powell,LAC,18,8,10,422,270,347,19,1,44,49,24,7.0,8.9,
OG Anunoby,TOR,14,7,7,446,374,423,29,5,47,73,36,7.8,9.6,
Obi Toppin,IND,17,9,8,413,400,341,22,4,39,55,27,5.5,6.8,
Ochai Agbaji,UTA,19,6,13,376,281,234,22,1,44,61,25,7.8,8.9,
Olivier Sarr,OKC,5,3,2,54,54,27,1,0,6,3,1,1.9,1.9,
Olivier-Maxence Prosper,DAL,7,3,4,41,40,38,1,1,6,2,2,2.5,5.0,
Omer Yurtseven,UTA,13,4,9,143,152,103,8,2,14,22,12,5.3,7.9,
Onyeka Okongwu,ATL,17,8,9,394,317,295,22,3,33,61,29,6.9,9.1,
Orlando Robinson,MIA,5,3,2,67,81,71,9,0,13,24,10,11.1,12.3,
Oshae Brissett,BOS,8,6,2,90,86,45,3,0,3,7,3,3.5,3.5,
Otto Porter Jr.,TOR,8,4,4,95,102,62,1,2,11,4,4,1.0,3.9,
Ousmane Dieng,OKC,12,6,6,122,113,104,11,2,13,29,13,9.7,11.5,
P.J. Tucker,LAC,15,6,9,239,149,71,8,1,13,21,9,5.4,6.0,
P.J. Washington,CHA,16,5,11,506,580,483,35,8,65,93,49,6.0,8.4,
Paolo Banchero,ORL,17,13,4,562,750,788,78,11,141,202,96,10.4,12.8,
Pascal Siakam,TOR,18,8,10,615,741,839,91,14,151,230,109,12.3,14.7,
Pat Connaughton,MIL,18,13,5,416,432,326,36,3,63,95,43,8.3,10.0,
Patrick Baldwin Jr.,WAS,3,0,3,11,9,6,1,0,1,2,1,11.1,11.1,
Patrick Beverley,PHI,18,12,6,307,526,455,41,8,77,115,55,7.8,10.5,
Patrick Williams,CHI,19,6,13,460,428,321,21,3,38,49,22,4.9,5.1,
Patty Mills,ATL,1,1,0,5,4,5,0,0,0,0,0,0.0,0.0,
Paul George,LAC,18,8,10,638,674,816,75,6,130,185,87,11.1,12.9,
Paul Reed,PHI,18,12,6,258,268,200,19,1,19,44,21,7.1,7.8,
Payton Pritchard,BOS,18,14,4,371,480,517,51,8,113,142,63,10.6,13.1,
Peyton Watson,DEN,15,10,5,217,239,167,11,0,18,29,12,4.6,5.0,
Precious Achiuwa,TOR,13,5,8,237,327,277,27,2,43,68,30,8.3,9.2,
Quentin Grimes,NYK,16,9,7,372,318,304,19,1,30,51,21,6.0,6.6,
R.J. Hampton,MIA,1,0,1,2,2,1,0,0,0,0,0,0.0,0.0,
RJ Barrett,NYK,13,9,4,384,337,436,32,5,49,78,37,9.5,11.0,
Rayan Rupert,POR,7,1,6,31,43,38,2,0,5,5,2,4.7,4.7,
Reggie Bullock Jr.,HOU,8,3,5,76,79,50,3,2,6,6,5,3.8,6.3,
Reggie Jackson,DEN,17,11,6,444,711,786,74,12,127,188,96,10.4,13.5,
Richaun Holmes,DAL,7,4,3,80,74,53,2,0,4,4,2,2.7,2.7,
Robert Covington,PHI,18,12,6,326,337,205,17,6,24,49,26,5.0,7.7,
Robert Williams III,POR,6,2,4,119,93,68,5,0,8,16,7,5.4,7.5,
Robin Lopez,MIL,3,2,1,9,8,12,1,0,2,2,1,12.5,12.5,
Ron Harper Jr.,TOR,1,1,0,4,4,4,1,0,0,2,1,25.0,25.0,
Royce O'Neale,BKN,17,9,8,508,710,484,55,4,76,128,58,7.7,8.2,
Rudy Gobert,MIN,18,14,4,583,491,314,20,1,42,54,23,4.1,4.7,
Rui Hachimura,LAL,12,7,5,279,209,220,12,2,20,31,14,5.7,6.7,
Russell Westbrook,LAC,18,8,10,488,693,712,98,2,157,244,110,14.1,15.9,
Ryan Arcidiacono,NYK,5,4,1,11,14,11,0,0,3,0,0,0.0,0.0,
Ryan Rollins,WAS,8,1,7,49,65,76,10,0,17,25,12,15.4,18.5,
Saben Lee,PHX,3,2,1,10,15,21,3,0,4,6,3,20.0,20.0,
Saddiq Bey,ATL,17,8,9,489,427,338,22,2,44,57,26,5.2,6.1,
Sam Hauser,BOS,18,14,4,410,316,274,15,2,27,35,17,4.7,5.4,
Sam Merrill,CLE,9,5,4,73,73,81,5,1,11,12,7,6.8,9.6,
Sandro Mamukelashvili,SAS,6,0,6,49,63,45,7,0,12,19,8,11.1,12.7,
Santi Aldama,MEM,11,4,7,290,305,309,21,6,38,56,30,6.9,9.8,
Sasha Vezenkov,SAC,14,8,6,204,213,176,4,3,10,13,8,1.9,3.8,
Scoot Henderson,POR,9,5,4,229,371,424,39,6,81,105,52,10.5,14.0,
Scottie Barnes,TOR,18,8,10,620,954,887,98,11,179,252,118,10.3,12.4,
Seth Curry,DAL,13,9,4,109,104,96,8,3,14,19,11,7.7,10.6,
Shaedon Sharpe,POR,17,6,11,620,549,709,57,4,121,141,64,10.4,11.7,
Shai Gilgeous-Alexander,OKC,16,11,5,554,707,959,97,16,200,265,122,13.7,17.3,
Shake Milton,MIN,18,14,4,287,383,394,27,3,62,72,37,7.0,9.7,
Shaquille Harrison,MEM,2,0,2,4,7,7,0,0,0,0,0,0.0,0.0,
Sidy Cissoko,SAS,1,0,1,4,4,3,0,0,0,0,0,0.0,0.0,
Simone Fontecchio,UTA,17,5,12,285,254,218,16,2,26,39,19,6.3,7.5,
Skylar Mays,POR,13,4,9,236,431,467,52,7,98,128,62,12.1,14.4,
Spencer Dinwiddie,BKN,17,8,9,530,791,886,110,11,188,298,130,13.9,16.4,
Stanley Umude,DET,15,1,14,155,82,93,8,2,14,21,11,9.8,13.4,
Stephen Curry,GSW,16,9,7,531,712,961,69,16,130,175,94,9.7,13.2,
Svi Mykhailiuk,BOS,8,6,2,59,35,43,1,1,5,5,3,2.9,8.6,
T.J. McConnell,IND,11,5,6,154,329,329,41,6,81,111,53,12.5,16.1,
Talen Horton-Tucker,UTA,19,6,13,425,783,835,85,9,180,232,105,10.9,13.4,
Tari Eason,HOU,9,5,4,159,144,91,7,2,8,17,9,4.9,6.3,
Taurean Prince,LAL,18,10,8,539,298,342,27,6,47,62,36,9.1,12.1,
Taylor Hendricks,UTA,1,0,1,2,1,1,0,0,0,0,0,0.0,0.0,
Terance Mann,LAC,12,5,7,322,302,250,26,1,30,63,28,8.6,9.3,
Terry Rozier,CHA,8,3,5,289,409,536,52,5,76,134,60,12.7,14.7,
Terry Taylor,CHI,4,1,3,9,5,2,0,0,0,0,0,0.0,0.0,
Thaddeus Young,TOR,3,0,3,10,17,17,3,0,4,4,2,17.6,11.8,
Thanasis Antetokounmpo,MIL,7,4,3,44,24,26,4,0,4,9,3,16.7,12.5,
Theo Maledon,CHA,13,3,10,200,293,292,28,1,49,76,34,9.6,11.6,
Thomas Bryant,MIA,13,8,5,168,184,138,8,0,20,22,8,4.3,4.3,
Tim Hardaway Jr.,DAL,16,11,5,442,393,410,26,2,32,65,28,6.6,7.1,
Tobias Harris,PHI,18,12,6,631,618,608,48,9,82,136,64,7.8,10.4,
Torrey Craig,CHI,19,6,13,402,378,259,19,4,35,43,24,5.0,6.3,
Toumani Camara,POR,17,6,11,418,394,253,19,2,41,51,22,4.8,5.6,
Trae Young,ATL,16,7,9,577,909,1202,172,18,297,447,205,18.9,22.6,
Trayce Jackson-Davis,GSW,11,6,5,80,90,74,5,0,5,13,6,5.6,6.7,
Tre Jones,SAS,15,3,12,360,679,714,78,13,161,208,98,11.5,14.4,
Tre Mann,OKC,6,5,1,47,75,81,8,1,19,27,12,10.7,16.0,
Trendon Watford,BKN,12,6,6,177,272,241,22,3,32,54,26,8.1,9.6,
Trent Forrest,ATL,4,3,1,31,66,66,7,1,16,20,9,10.6,13.6,
Trey Lyles,SAC,4,2,2,88,128,83,2,0,9,10,4,1.6,3.1,
Tristan Thompson,CLE,14,8,6,130,129,91,11,2,15,32,15,8.5,11.6,
Troy Brown Jr.,MIN,14,11,3,175,154,130,9,1,20,25,12,5.8,7.8,
Ty Jerome,CLE,2,1,1,15,24,25,3,0,6,7,3,12.5,12.5,
TyTy Washington Jr.,MIL,2,1,1,6,9,11,0,0,1,0,0,0.0,0.0,
Tyler Herro,MIA,8,4,4,272,339,422,37,6,62,96,45,10.9,13.3,
Tyrese Haliburton,IND,16,9,7,543,1123,1206,189,20,316,504,231,16.8,20.6,
Tyrese Maxey,PHI,18,12,6,691,1126,1349,120,21,210,307,156,10.7,13.9,
Tyus Jones,WAS,18,3,15,483,907,940,87,19,165,223,110,9.6,12.1,
Udoka Azubuike,PHX,2,2,0,9,6,2,0,0,0,0,0,0.0,0.0,
Vasilije Micic,OKC,7,5,2,77,106,118,15,2,27,42,22,14.2,20.8,
Victor Wembanyama,SAS,18,3,15,540,524,606,46,7,92,105,54,8.8,10.3,
Vince Williams Jr.,MEM,9,1,8,96,100,69,8,0,15,23,9,8.0,9.0,
Walker Kessler,UTA,12,4,8,293,327,228,9,2,23,26,11,2.8,3.4,
Wendell Carter Jr.,ORL,5,3,2,147,136,122,8,2,19,20,10,5.9,7.4,
Wendell Moore Jr.,MIN,1,1,0,2,2,3,0,0,0,0,0,0.0,0.0,
Wesley Matthews,ATL,8,2,6,83,73,51,7,0,10,15,6,9.6,8.2,
Xavier Tillman,MEM,7,0,7,181,218,168,17,0,30,43,18,7.8,8.3,
Yuta Watanabe,PHX,14,7,7,254,206,184,8,1,16,23,11,3.9,5.3,
Zach Collins,SAS,18,3,15,530,621,638,71,8,138,198,93,11.4,15.0,
Zach LaVine,CHI,17,5,12,605,737,778,57,16,137,147,77,7.7,10.4,
Zeke Nnaji,DEN,17,11,6,191,146,143,6,1,7,13,6,4.1,4.1,
Ziaire Williams,MEM,16,4,12,370,366,347,22,5,47,60,31,6.0,8.5,
Zion Williamson,NOP,15,9,6,478,601,695,73,7,161,195,86,12.1,14.3,
